Preferred Label,Synonyms
DA05426 cell,DA05426
LBRM-33-1A5 cell,LBRM-33-1A5
Hs 929.Sk cell,Hs 929.Sk
DA05747 cell,DA05747
GM13941 cell,GM13941
PR01119 cell,PR01119
GM17295 cell,GM17295
AU10039 cell,AU10039
IGROV-1 cell,IGROV-1
DA06447 cell,DA06447
GM03317 cell,GM03317
TE15 cell,TE15
GM09778 cell,GM09778
AG20423 cell,AG20423
GM09075 cell,GM09075
GM02742 cell,GM02742
PAb 108 cell,PAb 108
GM15050 cell,GM15050
GM16493 cell,GM16493
ND00074 cell,ND00074
IGL015/00 cell,IGL015/00
epithelial cell of exocrine pancreas,exocrine pancreas cell
ND04574 cell,ND04574
breast ductal carcinoma,duct carcinoma
GM16142 cell,GM16142
GM07941 cell,GM07941
VCaP cell,VCaP
ND12842 cell,ND12842
ND11030 cell,ND11030
FH 61 cell,FH 61
DA03243 cell,DA03243
immortal thoracic aorta-derived fibroblast cell line cell,
FH 98 cell,FH 98
GM20853 cell,GM20853
GM19307 cell,GM19307
skeletal muscle organ,skeletal muscle
GM12878 cell,GM12878
ND01326 cell,ND01326
DA03473 cell,DA03473
IGF096/83 cell,IGF096/83
mFS6 cell,mFS6
GM17933 cell,GM17933
PR01217 cell,PR01217
A172 cell,A172
15C6 cell,15C6
ND03355 cell,ND03355
ND00250 cell,ND00250
104C1 cell,104C1
HQ00263 cell,HQ00263
GM11045 cell,GM11045
GM01126 cell,GM01126
GM21261 cell,GM21261
RCB1868 cell,Sos1^(-)/Sos2^(-)DT40|RCB1868
KCL-22 cell,KCL-22
AG13237 cell,AG13237
ND14399 cell,ND14399
carbohydrate biosynthetic process,carbohydrate synthesis|anabolic carbohydrate metabolism|carbohydrate biosynthesis|anabolic carbohydrate metabolic process|carbohydrate formation|carbohydrate anabolism
organic acid biosynthetic process,organic acid anabolism|organic acid synthesis|organic acid formation|organic acid biosynthesis
carbohydrate catabolic process,multicellular organismal carbohydrate catabolic process|single-organism carbohydrate catabolic process|catabolic carbohydrate metabolism|carbohydrate catabolism|carbohydrate breakdown|carbohydrate degradation|catabolic carbohydrate metabolic process
vesicle organization,vesicle organization and biogenesis|vesicle organisation
DA01056 cell,DA01056
DA03991 cell,DA03991
"Drosophila <flies,subgenus>",Drosophila
IGF023/77 cell,IGF023/77
HQ00754 cell,HQ00754
IGF057/82 cell,IGF057/82
GM01443 cell,GM01443
IGF161/83 cell,IGF161/83
Anura,frogs and toads|frogs|anurans
ND13820 cell,ND13820
ND01138 cell,ND01138
HIAE-78 cell,HIAE-78
hyperuricemia,"""hyperURICEMIA"" EXACT [MTH:NOCODE]|""(Blood urate raized) or (hyperuricemia)"" EXACT [SNOMEDCT_2005_07_31:166733000]|""hyperuricemia"" EXACT [NCI2004_11_17:C3961]|""hyperuricaemia"" EXACT [SNOMEDCT_2005_07_31:144021008]|""hyperuricaemia"" EXACT [SNOMEDCT_2005_07_31:271198001]|""hyperuricaemia [Ambiguous]"" EXACT [SNOMEDCT_2005_07_31:237857006]|""uricacidemia"" EXACT [CSP2005:1849-8097]|""Uricacidaemia"" EXACT [SNOMEDCT_2005_07_31:35885006]"
ND01928 cell,ND01928
DA01103 cell,DA01103
glomerular filtration,
GM20091 cell,GM20091
AG08179 cell,AG08179
skeletal musculature,
DA06380 cell,DA06380
ND10575 cell,ND10575
GM20277 cell,GM20277
GM12511 cell,GM12511
Hs 579.Mg cell,Hs 579.Mg
GM09071 cell,GM09071
Feliformia,
Caniformia,
GM13602 cell,GM13602
Hs 912.T cell,Hs 912.T
GM87 cell,GM87
DA05232 cell,DA05232
GM00135A cell,GM00135A
immortal Sertoli cell line cell,
GM12212 cell,GM12212
GM14025 cell,GM14025
GM12752 cell,GM12752
DA00417 cell,DA00417
ND13105 cell,ND13105
GM06913 cell,GM06913
Hs 413.We cell,Hs 413.We
GM02264 cell,GM02264
DA00271 cell,DA00271
DA05552 cell,DA05552
retinal dystrophy,"""Retinal dystrophy (disorder)"" EXACT [SNOMEDCT_2005_07_31:314407005]|""Retinal Dystrophy"" EXACT [NCI2004_11_17:C35625]"
GM50158 cell,GM50158
ND11754 cell,ND11754
GM04764 cell,GM04764
Hs 877.T cell,Hs 877.T
MP90 cell,MP90
GM17368 cell,GM17368
ND13579 cell,ND13579
FTC-133 cell,FTC-133
GM21477 cell,GM21477
congenital hypoplastic anemia,"""congenital hypoplastic anemia"" EXACT [CSP2005:0427-0659]|""constitutional aplastic anemia"" RELATED []|""Constitutional aplastic anemia NOS (disorder)"" RELATED []|""Constitutional aplastic anemia (disorder)"" RELATED []|""Congenital hypoplastic anaemia"" EXACT [SNOMEDCT_2005_07_31:191236003]|""Constitutional aplastic anaemia"" RELATED [SNOMEDCT_2005_07_31:154808006]|""congenital aplastic anemia"" EXACT [CSP2005:0427-0659]|""Congenital hypoplastic anaemia"" EXACT [SNOMEDCT_2005_07_31:88854002]|""Constitutional aplastic anemia [dup] (disorder)"" RELATED []|""Congenital hypoplastic anaemia"" EXACT [SNOMEDCT_2005_07_31:188588001]"
ND12364 cell,ND12364
GM13243 cell,GM13243
GM03129 cell,GM03129
DA01370 cell,DA01370
DA02545 cell,DA02545
ND11593 cell,ND11593
arthritis,"""Arthritis (finding)"" EXACT [SNOMEDCT_2005_07_31:372091005]|""Arthritis (disorder)"" EXACT [SNOMEDCT_2005_07_31:3723001]|""Inflammation of joint NOS"" EXACT [MTHICD9_2006:716.9]|""Inflammatory disorder of joint"" EXACT [SNOMEDCT_2005_07_31:363178003]|""arthritis"" EXACT [CSP2005:2715-1134]|""arthritis"" EXACT [NCI2004_11_17:C2883]"
Y-1 cell,Y-1
GM12445 cell,GM12445
ND11226 cell,ND11226
GM19247 cell,GM19247
ND04302 cell,ND04302
endorphin secreting cell,
type G enteroendocrine cell,G cell
type D enteroendocrine cell,D cell
gastrin secreting cell,
enkephalin secreting cell,
F4N (MEL) cell,F4N (MEL)
GM11883 cell,GM11883
IM-9 cell,IM-9
ND00087 cell,ND00087
ND14397 cell,ND14397
DA05352 cell,DA05352
IGF021/85 cell,IGF021/85
CD86 cell,CD86
DA05533 cell,DA05533
DA04896 cell,DA04896
DA05106 cell,DA05106
DA00793 cell,DA00793
immortal human spherical lensed eye-derived cell line cell,
MC/CAR cell,MC/CAR
immortal human myeloblast cell line cell,
DA01410 cell,DA01410
GM00159 cell,GM00159
DA02813 cell,DA02813
spinocerebellar degeneration,
HR/+ C.Sp cell,HR/+ C.Sp
FIB-PSE52 cell,FIB-PSE52
AG08815 cell,AG08815
CDC 1C42H11 cell,CDC 1C42H11
HQ00100 cell,HQ00100
GM01791 cell,GM01791
GM11083 cell,GM11083
Hs 944.T cell,Hs 944.T
factor V deficiency,"""Hereditary hypoproaccelerinaemia"" EXACT [SNOMEDCT_2005_07_31:88776002]|""Factor V deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:4320005]|""deficiency, labile"" EXACT [MTHICD9_2006:286.3]|""Proaccelerin deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:365157004]|""Factor V deficiency [Ambiguous]"" EXACT [SNOMEDCT_2005_07_31:191284007]|""Labile factor deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:366160003]"
GM05945 cell,GM05945
RCB0569 cell,707.fl|RCB0569
ND10734 cell,ND10734
RCB2860 cell,MRMT-1|RCB2860
GM14224 cell,GM14224
PR00485 cell,PR00485
ND04315 cell,ND04315
AG07559 cell,AG07559
DA06495 cell,DA06495
DA04994 cell,DA04994
GM18862 cell,GM18862
S004921 cell,S004921
HQ00750 cell,HQ00750
GM17596 cell,GM17596
GM06820 cell,GM06820
ND14365 cell,ND14365
IGF021/92 cell,IGF021/92
ND09466 cell,ND09466
DA03945 cell,DA03945
GM01625 cell,GM01625
ND03053 cell,ND03053
Hs 795.Pl cell,Hs 795.Pl
P1.HTR.TK- cell,P1.HTR.TK-
cervical adenocarcinoma,adenocarcinoma of the uterine Cervix|adenocarcinoma of cervix|adenocarcinoma cervix uteri
GM00954 cell,GM00954
AG07123 cell,AG07123
IGF055/77 cell,IGF055/77
digestive tract diverticulum,intestinal pouch|diverticulum of gut
sac,diverticulum|pouch
ND08399 cell,ND08399
AG08183 cell,AG08183
LR6.2/52a cell,LR6.2/52a
DA05995 cell,DA05995
DA03345 cell,DA03345
A-2 cell,A-2
ND00305 cell,ND00305
ND12281 cell,ND12281
B3D cell,B3D
GM21716 cell,GM21716
HQ00765 cell,HQ00765
DA06454 cell,DA06454
LB11.Sp cell,LB11.Sp
ND11474 cell,ND11474
ND12280 cell,ND12280
AG10942 cell,AG10942
obsolete: MCF 7 cell,MCF 7
GM14637 cell,GM14637
GM15468 cell,GM15468
HQ00033 cell,HQ00033
ND09402 cell,ND09402
FH 57 cell,FH 57
GM10835 cell,GM10835
ND11914 cell,ND11914
IGF096/82 cell,IGF096/82
ND07041 cell,ND07041
ND10833 cell,ND10833
GM08254 cell,GM08254
HP6014 cell,HP6014
IGF054/85 cell,IGF054/85
AG08509 cell,AG08509
GM21086 cell,GM21086
ND12354 cell,ND12354
GM03093 cell,GM03093
DA04284 cell,DA04284
ND01174 cell,ND01174
chromatin,cytoplasmic chromatin|nuclear chromatin|chromosome scaffold
Ltk-11 cell,Ltk-11
GM11457 cell,GM11457
immortal cat sublingual artery-derived cell line cell,
tic disorder,"""Tic disorder unspecified (finding)"" EXACT [SNOMEDCT_2005_07_31:191989005]|""Tics"" EXACT [ICD9CM_2006:307.2]|""Tic [dup] (finding)"" EXACT [SNOMEDCT_2005_07_31:112086008]|""Tic (finding)"" EXACT [SNOMEDCT_2005_07_31:386783003]|""Tic NOS (finding)"" EXACT [SNOMEDCT_2005_07_31:191991002]|""Tic disorder, unspecified"" EXACT [ICD9CM_2006:307.20]|""Tic disorder (finding)"" EXACT [SNOMEDCT_2005_07_31:192621007]|""Tic disorder NOS"" EXACT [MTHICD9_2006:307.20]|""Tic disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:568005]|""Tic disorder unspecified"" EXACT [SNOMEDCT_2005_07_31:192626002]|""Tic (finding)"" EXACT [SNOMEDCT_2005_07_31:35042001]|""Tic"" EXACT [SNOMEDCT_2005_07_31:191988002]"
ND00279 cell,ND00279
GM06449 cell,GM06449
AU10104 cell,AU10104
GM20754 cell,GM20754
BFA cell,BFA
ND08726 cell,ND08726
GM21722 cell,GM21722
DA02907 cell,DA02907
DA00442 cell,DA00442
GM19078 cell,GM19078
GM50095 cell,GM50095
ND11382 cell,ND11382
GM18509 cell,GM18509
HQ00529 cell,HQ00529
IGF009/81 cell,IGF009/81
GM06626 cell,GM06626
DA01465 cell,DA01465
GM15285 cell,GM15285
GM21574 cell,GM21574
ND03712 cell,ND03712
FC112 cell,FC112
DA03064 cell,DA03064
GM02416 cell,GM02416
GM13693 cell,GM13693
GM11532 cell,GM11532
ND04363 cell,ND04363
nephroblastoma,Wilms tumor|nephroblastoma|Nephroblastoma NOS|renal Wilms tumor|Nephroblastoma (morphologic abnormality)|Nephroblastoma (disorder)
immortal rectum-derived cell line cell,
follicular fluid,"liquor folliculi|ovarian follicular fluid|ovary follicular fluid|antral fluid, ovarian follicle|liquor follicularis|liquor folliculi|ovary follicle fluid"
head,adult head|cephalic area|head (volume)
Prune Belly syndrome,"""Eagle-Barrett syndrome"" EXACT [MTHICD9_2006:756.71]|""Prune belly syndrome"" EXACT [ICD9CM_2006:756.71]|""Prune belly syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:5187006]"
ND00986 cell,ND00986
GM10930 cell,GM10930
D-B87 cell,D-B87
L168.2 cell,L168.2
ND11428 cell,ND11428
RCB1371 cell,NBT-L1|RCB1371
DA05910 cell,DA05910
AG08419 cell,AG08419
DA01475 cell,DA01475
IGF062/78 cell,IGF062/78
GM00739 cell,GM00739
ND12905 cell,ND12905
IGF042/82 cell,IGF042/82
GM14892 cell,GM14892
urethra,
large intestine,intestinum crassum
vessel,
duct,exocrine gland duct|exocrine duct|ducts|anatomical duct
ureter,metanephric duct
DA02892 cell,DA02892
AG10940 cell,AG10940
GM08600 cell,GM08600
GM12481 cell,GM12481
GM18484 cell,GM18484
ND05867 cell,ND05867
HCC1599 BL cell,HCC1599 BL
ND05573 cell,ND05573
AG07888 cell,AG07888
DA05247 cell,DA05247
ND10487 cell,ND10487
DA00865 cell,DA00865
GM10020 cell,GM10020
Anatidae,waterfowl
Anas platyrhynchos,mallard ducks|duck|mallard duck|mallard
ND12139 cell,ND12139
DA06592 cell,DA06592
ND03635 cell,ND03635
organonitrogen compound,organonitrogens|organonitrogen compounds
molecule,neutral molecular compounds|Molekuel|molecula|molecules|molecule
ND10783 cell,ND10783
DA04499 cell,DA04499
GM00961 cell,GM00961
IGF001/99 cell,IGF001/99
GM19205 cell,GM19205
GM09690 cell,GM09690
AG09715 cell,AG09715
GM01363 cell,GM01363
ND13587 cell,ND13587
NIH:OVCAR-3 cell,NIH:OVCAR-3
HQ00594 cell,HQ00594
ND00071 cell,ND00071
GM10715 cell,GM10715
DA05015 cell,DA05015
immortal tunica albuginea of testis-derived fibroblast cell line cell,
AU10158 cell,AU10158
vasopressin secretion,
COR-L 105 cell,COR-L 105
ND01696 cell,ND01696
GM01254 cell,GM01254
G protein-coupled receptor signaling pathway,dimeric G-protein coupled receptor signalling pathway|G-protein coupled receptor signaling pathway via GPCR dimer|dimeric G-protein coupled receptor signaling pathway|GPCR signalling pathway|G protein coupled receptor protein signalling pathway|G-protein-coupled receptor protein signalling pathway|G-protein coupled receptor protein signal transduction|G protein coupled receptor protein signaling pathway|GPCR signaling pathway|G-protein coupled receptor signalling pathway|G-protein coupled receptor protein signaling pathway
IGF106/82 cell,IGF106/82
AG13993 cell,AG13993
FIB-MARFAN5 cell,FIB-MARFAN5
cystic fibrosis,mucoviscidosis|CF
IGF059/84 cell,IGF059/84
ND02540 cell,ND02540
dorsal root ganglion,posterior root ganglion|dorsal root ganglia|ganglion spinale|ganglion sensorium nervi spinalis|DRG|ganglion of dorsal root|spinal ganglion part of peripheral nervous system|dorsal root ganglion|ganglion spinalis|spinal ganglion
serous membrane,serosa|wall of serous sac|tunica serosa
tendon,sinew|tendo
ganglion,neural ganglion|ganglia
simple eye,
spherical lensed eye,
immortal mouse muscle spindle-derived cell line cell,
ND01585 cell,ND01585
H1-neuron,
GM12828 cell,GM12828
C11C1 cell,C11C1
GM00203 cell,GM00203
DA03381 cell,DA03381
GM11264 cell,GM11264
DA01339 cell,DA01339
DA03303 cell,DA03303
GM03560 cell,GM03560
autoimmune disease of the nervous system,"""autoimmune nervous system disorder"" EXACT [CSP2005:2042-6653]|""autoimmune nervous system disorder"" EXACT [CSP2005:2057-3403]|""autoimmune nervous system disorder"" EXACT [CSP2005:2042-2001]|""autoimmune nervous system disorder"" EXACT [CSP2005:1560-5548]"
myasthenia gravis,"""Myasthenia gravis"" EXACT [SNOMEDCT_2005_07_31:155092009]|""Myasthenia gravis without (acute) exacerbation"" EXACT []|""Myasthenia gravis"" EXACT [ICD9CM_2006:358.0]|""myasthenia gravis"" EXACT [CSP2005:2057-3613]|""Myasthenia gravis (disorder)"" EXACT [SNOMEDCT_2005_07_31:91637004]|""Myasthenia gravis with (acute) exacerbation"" EXACT []|""Myasthenia gravis NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:193208002]"
neuromuscular junction disease,"""Neuromuscular junction disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:128213006]"
GM18003 cell,GM18003
IGF035/94 cell,IGF035/94
DA05260 cell,DA05260
Vero 317 cell,Vero 317
HeLa DH cell,HeLa DH
ND00713 cell,ND00713
Aedes albopictus clone C6/36 cell,Aedes albopictus clone C6/36
GM07300 cell,GM07300
IGL013/97 cell,IGL013/97
CD209 molecule-like protein B,DC-SIGN-related protein 1|Cd209b|DC-SIGNR1|OtB7
AG12795 cell,AG12795
DA04709 cell,DA04709
RCB1374 cell,1-8|RCB1374
GM16524 cell,GM16524
DA00122 cell,DA00122
DA05584 cell,DA05584
ND00938 cell,ND00938
GM05794 cell,GM05794
intrinsic component of plasma membrane,intrinsic to plasma membrane
intrinsic component of membrane,intrinsic to membrane
GM01888 cell,GM01888
neurofibromatosis type 2,"""central Neurofibromatosis"" EXACT [NCI2004_11_17:C3274]|""Neurofibromatosis 2"" EXACT [MTH:NOCODE]|""Acoustic neurofibromatosis"" EXACT [MTHICD9_2006:237.72]|""neurofibromatosis type 2 [acoustic neurofibromatosis]"" EXACT []|""Neurofibromatosis, type 2 (disorder)"" EXACT [SNOMEDCT_2005_07_31:92503002]"
LL 97A (AlMy) cell,LL 97A (AlMy)
IGV001/90 cell,IGV001/90
AG11725 cell,AG11725
GM20319 cell,GM20319
ND13297 cell,ND13297
GM14277 cell,GM14277
IMG-778 cell,IMG-778
DA06054 cell,DA06054
DA00748 cell,DA00748
ND05092 cell,ND05092
DA01853 cell,DA01853
AU10085 cell,AU10085
D98/AH2 Clone B cell,D98/AH2 Clone B
ND14687 cell,ND14687
GM18347 cell,GM18347
GM09688 cell,GM09688
Hs 1.Int cell,Hs 1.Int
GM17301 cell,GM17301
familial lipoprotein lipase deficiency,"""hyperchylomicronemia"" EXACT [ICD9CM_2006:272.3]|""Fredrickson type I lipaemia"" EXACT [SNOMEDCT_2005_07_31:190781009]|""mixed hyperglyceridemia"" EXACT [MTHICD9_2006:272.3]|""familial lipoprotein lipase deficiency (disorder) [Ambiguous]"" EXACT [SNOMEDCT_2005_07_31:34171006]|""familial hyperchylomicronemia (disorder)"" EXACT [SNOMEDCT_2005_07_31:267435002]|""familial lipoprotein lipase deficiency with type I phenotype"" EXACT [SNOMEDCT_2005_07_31:403827000]|""familial LPL deficiency"" EXACT [SNOMEDCT_2005_07_31:238039006]|""familial hyperlipoproteinemia type I"" EXACT [CSP2005:1849-4577]|""hypercholesterinaemic xanthomatosis"" EXACT [SNOMEDCT_2005_07_31:275598004]|""Fredrickson type I hyperlipoproteinemia (disorder)"" EXACT [SNOMEDCT_2005_07_31:238086005]"
"EML Cell Line, Clone 1 cell","EML Cell Line, Clone 1"
NCI-H128 cell,NCI-H128
GM15614 cell,GM15614
immortal human prepuce of penis-derived cell line cell,
GM12541 cell,GM12541
GM07038 cell,GM07038
GM17646 cell,GM17646
RCB1645 cell,RCB1645|Y79
immortal human heart-derived cell line cell,
T2389 cell,T2389
IGF014/98 cell,IGF014/98
B19 cell,B19
IGF054/93 cell,IGF054/93
GM00302 cell,GM00302
DA06101 cell,DA06101
Bruck-de Lange syndrome,"""De Lange syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:40354009]|""Congenital muscular hypertrophy-cerebral syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:55016009]|""Brachmann de Lange syndrome"" EXACT [CSP2005:2403-8925]|""Brachmann de Lange syndrome"" EXACT [CSP2005:0944-7801]|""Brachmann de Lange syndrome"" EXACT [CSP2005:1354-8678]"
myotonic dystrophy,"""Dystrophia myotonica"" EXACT [SNOMEDCT_2005_07_31:267713009]|""Dystrophia myotonica"" EXACT [SNOMEDCT_2005_07_31:155096007]|""Steinert myotonic dystrophy syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:77956009]|""Dystrophia myotonica"" EXACT [MTHICD9_2006:359.2]|""Steinert's disease"" EXACT [CSP2005:1849-6719]"
glycogen storage disease type VII,"""Muscle phosphofructokinase deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:234406005]|""Glycogen storage disease, type VII (disorder)"" EXACT [SNOMEDCT_2005_07_31:89597008]|""phosphofructokinase myopathy"" EXACT [CSP2005:1849-4121]"
ND14433 cell,ND14433
immortal Syrian golden hamster kidney-derived cell line cell,
DA05940 cell,DA05940
multinucleate,
PK 15 cell,PK 15
DREG200 cell,DREG200
GM50145 cell,GM50145
immortal Syrian golden hamster abdominal cavity-derived fibroblast cell line cell,
LM00023 cell,LM00023
AU10035 cell,AU10035
ND06730 cell,ND06730
ND02452 cell,ND02452
RCB2541 cell,141-LCL-MUC1|RCB2541
ND04104 cell,ND04104
DA03870 cell,DA03870
AG03343 cell,AG03343
ND05194 cell,ND05194
GM17805 cell,GM17805
AU10018 cell,AU10018
ND12314 cell,ND12314
GM05912 cell,GM05912
ND09988 cell,ND09988
ND06085 cell,ND06085
MCF7-488X1 cell,MCF7-488X1
ND01784 cell,ND01784
Hs 573.Lu cell,Hs 573.Lu
ND01932 cell,ND01932
AG06877 cell,AG06877
ND11059 cell,ND11059
AG04447 cell,AG04447
GM09812 cell,GM09812
GM01374 cell,GM01374
human induced pluripotent stem cell line cell,human iPS cell line cell|hiPSC
TTDH2PV cell,TTDH2PV
GM15234 cell,GM15234
ND06809 cell,ND06809
GM17566 cell,GM17566
GM20501 cell,GM20501
GM04723 cell,GM04723
HQ00389 cell,HQ00389
ND13580 cell,ND13580
ND00940 cell,ND00940
STK 1 cell,STK 1
DA04346 cell,DA04346
GM18053 cell,GM18053
GM21078 cell,GM21078
GM01309 cell,GM01309
RCB2299 cell,RCB2299|RMC-1
ND14915 cell,ND14915
ND14236 cell,ND14236
DA02395 cell,DA02395
AG11717 cell,AG11717
Roberts-SC phocomelia syndrome,"""Roberts-SC phocomelia syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:48718006]|""Hypomelia Hypotrichosis Facial hemangioma syndrome"" EXACT [NCI2004_11_17:C4681]"
K5 cell,K5
AG13778 cell,AG13778
PFSK-1 cell,PFSK-1
GM09026 cell,GM09026
RCB1609 cell,DHA9-15|RCB1609
BeWo cell,BeWo
ND10261 cell,ND10261
ND06295 cell,ND06295
GM07863 cell,GM07863
DA01426 cell,DA01426
RCB2134 cell,86-2|RCB2134
DA03045 cell,DA03045
ND00070 cell,ND00070
GM10659 cell,GM10659
AU10088 cell,AU10088
PR00245 cell,PR00245
NCI-H647 cell,NCI-H647
SK-N-SH cell,SK-N-SH
AG09021 cell,AG09021
IGF062/81 cell,IGF062/81
ND08553 cell,ND08553
ND04902 cell,ND04902
ND06371 cell,ND06371
RCB0179 cell,23CLN|RCB0179
GM08948 cell,GM08948
GM12875 cell,GM12875
GM14374 cell,GM14374
RLSD09 cell,RLSD09
vesicle,membrane-bounded vesicle|membrane-enclosed vesicle
nuclear lumen,
ND07726 cell,ND07726
PA317 LXSN 6E6 cell,PA317 LXSN 6E6
ND01349 cell,ND01349
GM19203 cell,GM19203
GM14942 cell,GM14942
GM13502 cell,GM13502
DA05136 cell,DA05136
GM10799 cell,GM10799
DA02106 cell,DA02106
GM50186 cell,GM50186
GM18503 cell,GM18503
GM08071 cell,GM08071
HDQ-P1 cell,HDQ-P1
ND12835 cell,ND12835
HQ00011 cell,HQ00011
GM13116 cell,GM13116
ND01779 cell,ND01779
DA04403 cell,DA04403
AG09492 cell,AG09492
ND13007 cell,ND13007
PD 5 cell,PD 5
IGF100/85 cell,IGF100/85
U937(CD59+) cell,U937(CD59+)
ribonucleic acid,Ribonukleinsaeure|pentosenucleic acids|ribose nucleic acid|ribonucleic acids|yeast nucleic acid|RNA|RNS|ribonucleic acid|ribonucleic acids
GM02445 cell,GM02445
DA05207 cell,DA05207
SUP-HD1 cell,SUP-HD1
DA01678 cell,DA01678
DA05442 cell,DA05442
AU10067 cell,AU10067
GM09324 cell,GM09324
GM20089 cell,GM20089
IGF056/85 cell,IGF056/85
NAMALWA.IPN/45 cell,NAMALWA.IPN/45
GM00579 cell,GM00579
DA03600 cell,DA03600
DA05235 cell,DA05235
GM06016 cell,GM06016
ND00274 cell,ND00274
3T3-MSV cell,3T3-MSV
RCB1105 cell,CRIP-MFGmIFN-|RCB1105
Ba/F3 cell line co-expression,
GM02938 cell,GM02938
GM10394 cell,GM10394
ND04561 cell,ND04561
GM09485 cell,GM09485
GM15269 cell,GM15269
MAM94M cell,MAM94M
chalcogen oxoanion,chalcogen oxoanions|chalcogen oxoanion
ND00324 cell,ND00324
ND12207 cell,ND12207
RCB0270 cell,KG-1-C|RCB0270
CCD-986Sk cell,CCD-986Sk
HQ00394 cell,HQ00394
IGF020/97 cell,IGF020/97
GM09752 cell,GM09752
DoCl1 (S+L–) cell,DoCl1 (S+L–)
AG10605 cell,AG10605
GM00881 cell,GM00881
ND09816 cell,ND09816
HFN 7.1 cell,HFN 7.1
Daboia russelii,Russell's viper
M3/84.6.34 cell,M3/84.6.34
DA00867 cell,DA00867
331.12 cell,331.12
GM13413 cell,GM13413
FC2.K cell,FC2.K
GM00005 cell,GM00005
ND05023 cell,ND05023
T-cell acute lymphoblastic leukemia,Precursor T Lymphoblastic Leukemia|T-cell acute lymphocytic leukaemia|T Acute Lymphoblastic Leukemia|acute T cell leukaemia|acute T cell leukemia|precursor T-lymphoblastic lymphoma/leukemia
HEV0195 cell,HEV0195
GM12471 cell,GM12471
AG09275 cell,AG09275
GM09439 cell,GM09439
IGF022/91 cell,IGF022/91
IGL022/96 cell,IGL022/96
DA00845 cell,DA00845
cellular process involved in reproduction in multicellular organism,reproductive cellular process in multicellular organism
