assay_chembl_id,assay_organism,assay_type,assay_type_description,description,compound_ids,clinical_trial_stages
CHEMBL654190,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 6.25 mg/kg; Number of Tested survived/number of control survived (10/10),CHEMBL8624,None
CHEMBL647067,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at dose 100 mg/kg,CHEMBL8624,None
CHEMBL647068,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at dose 12.5 mg/kg,CHEMBL8624,None
CHEMBL647069,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at dose 25 mg/kg,CHEMBL8624,None
CHEMBL647070,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at dose 50 mg/kg,CHEMBL8624,None
CHEMBL647071,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at dose 6.25 mg/kg,CHEMBL8624,None
CHEMBL648694,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 100 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL648695,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 12.5 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL648696,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 200 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL648697,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 25 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL648698,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 6.25 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL651529,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 100 mg/kg; Number of Tested survived/number of control survived (7/10),CHEMBL8624,None
CHEMBL651530,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 25 mg/kg; Number of Tested survived/number of control survived (10/10),CHEMBL8624,None
CHEMBL651531,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system B16 melanocarcinoma at a dose of 50 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL655746,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumors at a dose of 125 mg/kg; Number of Tested survived/number of control survived (10/10),CHEMBL8624,None
CHEMBL655747,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumors at a dose of 250 mg/kg; number of Tested survived/number of control survived,CHEMBL8624,None
CHEMBL655748,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumors at a dose of 500 mg/kg; Number of Tested survived/number of control survived (0/10),CHEMBL8624,None
CHEMBL655749,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumors at a dose of mg/kg;Number of Tested survived/number of control survived (10/10),CHEMBL8624,None
CHEMBL655750,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumor at dose 125 mg/kg,CHEMBL8624,None
CHEMBL655751,Mus musculus,F,Functional,Evaluated for anticancer activity in tumor inhibition system CD8F1 mammary tumor at dose 62 mg/kg,CHEMBL8624,None
CHEMBL655752,Mus musculus,F,Functional,"Evaluated for anticancer activity in tumor inhibition system CD8F mammary tumor at a dose of 125 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL655753,Mus musculus,F,Functional,"Evaluated for anticancer activity in tumor inhibition system CD8F mammary tumor at a dose of 62 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL656038,Homo sapiens,F,Functional,In vitro anticancer activity against CCRF-CEM leukemia cell line,CHEMBL37201,None
CHEMBL655929,Homo sapiens,F,Functional,In vitro anticancer activity against CCRF-CEM leukemia cell line.(Maximum Concentration),CHEMBL39738,None
CHEMBL655930,Homo sapiens,F,Functional,In vitro anticancer activity against CCRF-CEM leukemia cell line; not available,CHEMBL39385,None
CHEMBL651490,Homo sapiens,F,Functional,Anticancer activity carried out in vitro against breast carcinoma MCF-7,"CHEMBL48266, CHEMBL301576, CHEMBL45975, CHEMBL300434, CHEMBL299315, CHEMBL49031, CHEMBL299571, CHEMBL803, CHEMBL301539","None, None, None, None, None, None, None, 4.0, None"
CHEMBL652484,Homo sapiens,F,Functional,Tested in vitro for anticancer activity against replication of human CCRF-CEM lymphoblastic cell line after 72 hr incubation,"CHEMBL124682, CHEMBL341264, CHEMBL124260, CHEMBL2111788, CHEMBL2111786, CHEMBL2112590, CHEMBL340604, CHEMBL2112588, CHEMBL2111787, CHEMBL2112591, CHEMBL123912, CHEMBL127523","None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL651440,Mus musculus,F,Functional,Tested for anticancer activity by measuring the number of communicating cells using gap junctional communication assay at 10*e-6 M (P>0.001),"CHEMBL323499, CHEMBL275311","None, None"
CHEMBL651441,Mus musculus,F,Functional,Tested for anticancer activity by measuring the number of communicating cells using gap junctional communication assay at 10e-6 M,"CHEMBL107687, CHEMBL106327, CHEMBL420109, CHEMBL317023","None, None, None, None"
CHEMBL650647,Mus musculus,F,Functional,Tested for anticancer activity by measuring the number of communicating cells using gap junctional communication assay at 10e-6 M (P>0.001),"CHEMBL104492, CHEMBL104486, CHEMBL107686, CHEMBL275311","None, None, None, None"
CHEMBL650648,Mus musculus,F,Functional,Tested for anticancer activity by measuring the number of communicating cells using gap junctional communication assay at 10e-6 M (P>0.01),"CHEMBL325128, CHEMBL322077, CHEMBL106632","None, None, None"
CHEMBL876406,Mus musculus,F,Functional,Tested for anticancer activity by measuring the number of communicating cells using gap junctional communication assay at 10e-6 M (P>0.05),"CHEMBL419545, CHEMBL104419","None, None"
CHEMBL658457,Homo sapiens,F,Functional,In vitro anticancer activity against COLO 205 colon cancer cell line,"CHEMBL96567, CHEMBL421382, CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None, None, None"
CHEMBL656050,Homo sapiens,F,Functional,Tested in vitro for anticancer activity against CEM cells,"CHEMBL171878, CHEMBL129, CHEMBL355426, CHEMBL2368321, CHEMBL168395, CHEMBL2368322, CHEMBL123292, CHEMBL38700, CHEMBL354904, CHEMBL185, CHEMBL355081, CHEMBL366529, CHEMBL169434, CHEMBL171444, CHEMBL169267, CHEMBL169277, CHEMBL171286, CHEMBL109831","None, 4.0, None, None, None, None, -1.0, 2.0, None, 4.0, None, None, None, None, None, None, None, 2.0"
CHEMBL657867,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity)of Human colon KM20L2 cell line; ND is No Data.,CHEMBL421740,None
CHEMBL668079,Homo sapiens,F,Functional,In vitro anticancer activity against DU-145 prostate cancer cell line,"CHEMBL96567, CHEMBL421382, CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None, None, None"
CHEMBL679422,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 0 uM (Cell number 1*10 e-4),"CHEMBL803, CHEMBL2029016","4.0, None"
CHEMBL679423,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 0 uM in presence of + beta galactosidase (Cell number 1*10 e-4),CHEMBL2029016,None
CHEMBL679424,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 0 uM in presence of (GlcNAc)2,CHEMBL3350437,None
CHEMBL679425,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 1 uM (Cell number 1*10 e-4),"CHEMBL803, CHEMBL2029016","4.0, None"
CHEMBL679426,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 1 uM in presence of + beta galactosidase (Cell number 1*10 e-4),CHEMBL2029016,None
CHEMBL679427,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 10 uM (Cell number 1*10 e-4),"CHEMBL803, CHEMBL2029016","4.0, None"
CHEMBL679428,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 10 uM in presence of + beta galactosidase (Cell number 1*10 e-4),CHEMBL2029016,None
CHEMBL679587,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 100 uM (Cell number 1*10 e-4),"CHEMBL803, CHEMBL2029016","4.0, None"
CHEMBL679588,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 100 uM in presence of + beta galactosidase (Cell number 1*10 e-4),CHEMBL2029016,None
CHEMBL679589,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 100 uM in presence of (GlcNAc)2,CHEMBL3350437,None
CHEMBL679590,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 10 uM in presence of (GlcNAc)2,CHEMBL3350437,None
CHEMBL679591,Homo sapiens,F,Functional,Tested in vitro against human ovarian cancer cells (G-401) for anticancer activity at dose 1 uM in presence of (GlcNAc)2,CHEMBL3350437,None
CHEMBL685453,Homo sapiens,F,Functional,In vitro anticancer activity against human ileocecal tumor cell line (HCT-8),"CHEMBL445889, CHEMBL71325","None, None"
CHEMBL689356,Homo sapiens,F,Functional,In vitro anticancer activity against human ileocecal tumor cell line (HCT-8),CHEMBL71325,None
CHEMBL690429,Homo sapiens,F,Functional,Anticancer activity against human nonsmall cell lung carcinoma (H125 cells),CHEMBL147905,None
CHEMBL688059,Homo sapiens,F,Functional,Compound was tested for its anticancer activity against HL-60 cells.,"CHEMBL44657, CHEMBL34259, CHEMBL53463, CHEMBL3215337","4.0, 4.0, 4.0, None"
CHEMBL686516,Homo sapiens,F,Functional,Anticancer activity was evaluated for the compound against parent promyelocytic leukemia cell line (HL-60-GHPRT+/dCK+),"CHEMBL2093941, CHEMBL803","None, 4.0"
CHEMBL686517,Homo sapiens,F,Functional,Anticancer activity of the compound against ara-C resistant promyelocytic leukemia cell line that is Cyd-kinase deficient (HL-60-HGPRT-/dCK-) is determined,CHEMBL803,4.0
CHEMBL686529,Homo sapiens,F,Functional,In vitro anticancer activity against HL-60(TB) leukemia cell line,"CHEMBL37201, CHEMBL39738","None, None"
CHEMBL687145,Homo sapiens,F,Functional,In vitro anticancer activity against HL-60(TB) leukemia cell line; not available,CHEMBL39385,None
CHEMBL687898,Homo sapiens,F,Functional,In vitro anticancer activity against HOP-62 non-small cell lung cancer cell line,CHEMBL421382,None
CHEMBL687899,Homo sapiens,F,Functional,In vitro anticancer activity against HOP-62 non-smallcell lung cancer cell line,"CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None"
CHEMBL687900,Homo sapiens,F,Functional,In vitro anticancer activity against HOP-62 non-smallcell lung cancer cell line; Least sensitive cell,CHEMBL96567,None
CHEMBL683868,Homo sapiens,F,Functional,Tested in vitro for the anticancer activity against HL-60 leukemia cells,"CHEMBL428647, CHEMBL412214, CHEMBL385435, CHEMBL408988","4.0, None, None, None"
CHEMBL687212,Homo sapiens,F,Functional,Anticancer activity was evaluated for the compound against parent promyelocytic leukemia cell line (HL-60-GHPRT+/dCK+)and percent inhibition was determined,CHEMBL2093941,None
CHEMBL690217,,F,Functional,Anticancer activity was evaluated for the compound against ara-C resistant promyelocytic leukemia cell line that is Cyd-kinase deficient (HL-60-HGPRT-/dCK-),CHEMBL2094074,None
CHEMBL690218,,F,Functional,Anticancer activity was evaluated for the compound against ara-C resistant promyelocytic leukemia cell line that is Cyd-kinase deficient (HL-60-HGPRT-/dCK-),CHEMBL2094074,None
CHEMBL695309,Homo sapiens,F,Functional,In vitro anticancer activity against Hs 578.T breast cancer cell line,"CHEMBL96567, CHEMBL421382, CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None, None, None"
CHEMBL693815,Homo sapiens,F,Functional,In vitro anticancer activity against human hepatocellular HepG2 cells,"CHEMBL301318, CHEMBL295694, CHEMBL46222, CHEMBL46330, CHEMBL295874, CHEMBL48087, CHEMBL45601, CHEMBL50280, CHEMBL295063, CHEMBL295137, CHEMBL412438, CHEMBL48116, CHEMBL44742, CHEMBL46211, CHEMBL297334, CHEMBL49642, CHEMBL297119, CHEMBL296654","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0, None, None"
CHEMBL694356,Homo sapiens,F,Functional,Tested in vitro for anticancer activity against HepG2 cells,"CHEMBL171878, CHEMBL355426, CHEMBL2368321, CHEMBL2368322, CHEMBL123292, CHEMBL38700, CHEMBL354904, CHEMBL185, CHEMBL355081, CHEMBL366529, CHEMBL169434, CHEMBL169267, CHEMBL169277, CHEMBL171286, CHEMBL109831","None, None, None, None, -1.0, 2.0, None, 4.0, None, None, None, None, None, None, 2.0"
CHEMBL694357,Homo sapiens,F,Functional,The compound was tested in vitro for anticancer activity against HepG2 cells; Not determined,"CHEMBL129, CHEMBL168395, CHEMBL171444","4.0, None, None"
CHEMBL692535,Human herpesvirus 1,F,Functional,Anticancer activity was evaluated for the compound against HSV-1 and KOS strains,CHEMBL2093941,None
CHEMBL883904,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) in Human CNS cancer SF-295 cell line,CHEMBL289351,None
CHEMBL696912,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human CNS cancer SF-295 cell line,"CHEMBL92670, CHEMBL315867, CHEMBL67, CHEMBL94124, CHEMBL94021, CHEMBL421740, CHEMBL329267","None, None, -1.0, None, None, None, None"
CHEMBL693374,Homo sapiens,F,Functional,In vitro anticancer activity against human gastric NUGC3 cells,"CHEMBL301318, CHEMBL295694, CHEMBL45506, CHEMBL46222, CHEMBL46330, CHEMBL45786, CHEMBL295874, CHEMBL48087, CHEMBL45601, CHEMBL50280, CHEMBL295063, CHEMBL295137, CHEMBL46500, CHEMBL412438, CHEMBL48116, CHEMBL46133, CHEMBL46091, CHEMBL46384, CHEMBL295837, CHEMBL44742, CHEMBL416994, CHEMBL46211, CHEMBL297334, CHEMBL49642, CHEMBL45884, CHEMBL297119, CHEMBL300074, CHEMBL296654, CHEMBL46243","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None, None"
CHEMBL695490,Homo sapiens,F,Functional,Tested for anticancer activity against human ovarian cancer,"CHEMBL307697, CHEMBL71739, CHEMBL306791","2.0, None, None"
CHEMBL695491,Homo sapiens,F,Functional,Tested for anticancer activity against human ovarian cancer; NT means Not tested,"CHEMBL306887, CHEMBL53463, CHEMBL306791","None, 4.0, None"
CHEMBL878313,Homo sapiens,F,Functional,In vitro anticancer activity against human lung cancer cell line,"CHEMBL56425, CHEMBL104, CHEMBL55219, CHEMBL55048, CHEMBL55686, CHEMBL56225, CHEMBL292817, CHEMBL56914, CHEMBL55841, CHEMBL55328, CHEMBL292180, CHEMBL293554, CHEMBL293955","None, 4.0, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL698249,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human CNS cancer SF-295 cell line,"CHEMBL36255, CHEMBL289351","1.0, None"
CHEMBL698250,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human lung-NSC cancer NCI-H460 cell line,"CHEMBL92670, CHEMBL315867, CHEMBL67, CHEMBL94124, CHEMBL421740, CHEMBL329267","None, None, -1.0, None, None, None"
CHEMBL698251,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human lung-NSC cancer NCI-H460 cell line,CHEMBL94021,None
CHEMBL695435,Homo sapiens,F,Functional,Tested for anticancer activity against human breast cancer,"CHEMBL306887, CHEMBL53463, CHEMBL307697, CHEMBL71739, CHEMBL306791","None, 4.0, 2.0, None, None"
CHEMBL695436,Homo sapiens,F,Functional,Tested for anticancer activity against human breast cancer; NT means Not tested,CHEMBL306791,None
CHEMBL697465,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human colon KM20L2 cancer cell line,"CHEMBL36255, CHEMBL92670, CHEMBL315867, CHEMBL289351, CHEMBL67, CHEMBL329267","1.0, None, None, None, -1.0, None"
CHEMBL697618,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human melanoma cancer RPMI-7951 cell line,"CHEMBL92670, CHEMBL315867, CHEMBL94124","None, None, None"
CHEMBL697620,Homo sapiens,F,Functional,Tested for anticancer activity against human melanoma,"CHEMBL306887, CHEMBL53463, CHEMBL306791, CHEMBL307697, CHEMBL306791","None, 4.0, None, 2.0, None"
CHEMBL697621,Homo sapiens,F,Functional,Tested for anticancer activity against human melanoma; NT means Not tested,CHEMBL71739,None
CHEMBL700105,Homo sapiens,F,Functional,"Compound was evaluated for anticancer activity in the hollow fiber assay, activity expressed as ip score",CHEMBL35955,None
CHEMBL700106,Homo sapiens,F,Functional,"Compound was evaluated for anticancer activity in the hollow fiber assay, activity expressed as net cell kill; Yes",CHEMBL35955,None
CHEMBL700107,Homo sapiens,F,Functional,"Compound was evaluated for anticancer activity in the hollow fiber assay, activity expressed as sc score",CHEMBL35955,None
CHEMBL700108,Homo sapiens,F,Functional,"Compound was evaluated for anticancer activity in the hollow fiber assay, activity expressed as total score",CHEMBL35955,None
CHEMBL702538,Homo sapiens,F,Functional,In vitro anticancer activity against cultured 60 human tumor cell lines,"CHEMBL105, CHEMBL325061, CHEMBL2303999, CHEMBL1793801","4.0, None, None, None"
CHEMBL702056,Homo sapiens,F,Functional,In vitro anticancer activity against human ovarian cancer (!A-9) cell line,"CHEMBL445889, CHEMBL71325","None, None"
CHEMBL702451,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) in Human prostate cancer DU-145 cell line,CHEMBL94021,None
CHEMBL702452,Homo sapiens,F,Functional,Evaluated for growth inhibition (anticancer activity) of Human prostate cancer DU-145 cell line,"CHEMBL36255, CHEMBL92670, CHEMBL315867, CHEMBL67, CHEMBL94124, CHEMBL421740, CHEMBL329267","1.0, None, None, -1.0, None, None, None"
CHEMBL701822,Homo sapiens,F,Functional,In vitro anticancer activity against IGROV1 ovarian cancer cell line,"CHEMBL96567, CHEMBL421382, CHEMBL94045, CHEMBL329072, CHEMBL327794, CHEMBL95111","None, None, None, None, None, None"
CHEMBL699875,Homo sapiens,F,Functional,In vitro anticancer activity against human epidermoid nasopharyngeal tumor cell line (KB),CHEMBL71325,None
CHEMBL701209,Homo sapiens,F,Functional,In vitro anticancer activity against K-562 leukemia cell line,CHEMBL37201,None
CHEMBL704641,Homo sapiens,F,Functional,In vitro anticancer activity against human vincristine-resistant tumor cell line (KB-VIN),"CHEMBL445889, CHEMBL71325","None, None"
CHEMBL704644,Homo sapiens,F,Functional,In vitro anticancer activity against human vincristine-resistant tumor cell line (KB-VIN),CHEMBL71325,None
CHEMBL703747,Mus musculus,F,Functional,Anticancer activity was determined by the inhibition of colony formation in liquid culture of L-1210 leukemia cells up to the concentration 31.6 ug/mL; NI means No inhibition,"CHEMBL1169526, CHEMBL2367961, CHEMBL1169527, CHEMBL1169529, CHEMBL2367971, CHEMBL2367963, CHEMBL2367962, CHEMBL1169528","None, None, None, None, None, None, None, None"
CHEMBL700932,Homo sapiens,F,Functional,in vitro anticancer activity against cultured KB(epidermoid) human tumor cell line,"CHEMBL3706705, CHEMBL3706706, CHEMBL298359, CHEMBL3706710, CHEMBL116639, CHEMBL114060, CHEMBL3706703, CHEMBL3706707, CHEMBL3706709, CHEMBL117096, CHEMBL3706704, CHEMBL105","None, None, 3.0, None, None, None, None, None, None, None, None, 4.0"
CHEMBL699942,Homo sapiens,F,Functional,In vitro anticancer activity against K-562 leukemia cell line,CHEMBL39738,None
CHEMBL879151,Homo sapiens,F,Functional,In vitro anticancer activity against K-562 leukemia cell line; not available,CHEMBL39385,None
CHEMBL700707,Homo sapiens,F,Functional,Anticancer activity was determined by the inhibition of colony formation in liquid culture of KB human epidermoid carcinoma cells up to the concentration 31.6 ug/mL; NI means No inhibition,"CHEMBL1169526, CHEMBL2367961, CHEMBL1169527, CHEMBL1169529, CHEMBL2367971, CHEMBL2367963, CHEMBL2367962, CHEMBL1169528","None, None, None, None, None, None, None, None"
CHEMBL700724,Homo sapiens,F,Functional,In vitro anticancer activity against human epidermoid nasopharyngeal tumor cell line (KB),"CHEMBL445889, CHEMBL71325","None, None"
CHEMBL703945,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 100 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL703946,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 12.5 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL703947,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 25 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL703948,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 3.125 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL703949,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 50 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL703950,Mus musculus,F,Functional,"Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 6.25 mg/kg, value was reported as weight difference",CHEMBL8624,None
CHEMBL707188,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 100 mg/kg; Number of Tested survived/number of control survived (6/6),CHEMBL8624,None
CHEMBL707189,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 25 mg/kg; Number of Tested survived/number of control survived (6/6),CHEMBL8624,None
CHEMBL707190,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 3.125 mg/kg; Number of Tested survived/number of control survived (6/6),"CHEMBL8624, CHEMBL8624","None, None"
CHEMBL707191,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 50 mg/kg; Number of Tested survived/number of control survived (6/6),CHEMBL8624,None
CHEMBL703450,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at a dose of 6.25 mg/kg; Number of Tested survived/number of control survived (6/6),CHEMBL8624,None
CHEMBL705901,Mus musculus,F,Functional,Anticancer activity against murine leukemia L1210 cells,CHEMBL147905,None
CHEMBL706193,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 100 mg/kg,CHEMBL8624,None
CHEMBL706194,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 12.5 mg/kg,CHEMBL8624,None
CHEMBL706195,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 250 mg/kg,CHEMBL8624,None
CHEMBL707672,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 3.12 mg/kg,CHEMBL8624,None
CHEMBL707673,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 50 mg/kg,CHEMBL8624,None
CHEMBL707674,Mus musculus,F,Functional,Evaluated for anticancer activity in survival tumor system L1210 lymphoid leukemia at dose 6.25 mg/kg,CHEMBL8624,None
