ID,synonyms
1321N1-NPC1-KO-c10,['CE077B-Z']
1321N1-NPC1-KO-c8,['CE077C-P']
1321N1-SLC16A11-KO-c17,['CE04FF-8']
1321N1-SLC16A11-KO-c8,['CE04FE-K']
1321N1-SLC16A2-KO-c3,['CE05BE-C']
1321N1-SLC16A2-KO-c6,['CE05PB-1']
1321N1-SLC17A7-KO-c13,['CE0619-E']
1321N1-SLC17A7-KO-c16,['CE061A-B']
1321N1-SLC22A4-KO-c10,['CE04M6-V']
1321N1-SLC22A4-KO-c11,['CE04M7-N']
1321N1-SLC23A3-KO-c6,['CE04SB-Y']
1321N1-SLC23A3-KO-c7,['CE04SC-3']
1321N1-SLC24A5-KO-c4,['CE057A-0']
1321N1-SLC25A21-KO-c13,['CE07EB-6']
1321N1-SLC25A21-KO-c7,['CE04F0-C']
1321N1-SLC26A10-KO-c2,['CE06SC-7']
1321N1-SLC26A10-KO-c5,['CE06SE-Q']
1321N1-SLC26A2-KO-c3,['CE05BS-0']
1321N1-SLC26A2-KO-c7,['CE05RF-1']
1321N1-SLC2A10-KO-c11,['CE05BN-7']
1321N1-SLC2A10-KO-c6,['CE05RH-E']
1321N1-SLC2A3-KO-c18,['CE07EG-8']
1321N1-SLC2A3-KO-c21,['CE07EH-A']
1321N1-SLC2A3-KO-c4,['CE05BH-W']
1321N1-SLC35F5-KO-c10,['CE0570-R']
1321N1-SLC35F5-KO-c11,['CE0571-C']
1321N1-SLC35G2-KO-c11,['CE04SF-T']
1321N1-SLC35G2-KO-c13,['CE05RR-0']
1321N1-SLC37A2-KO-c3,['CE05H8-2']
1321N1-SLC37A2-KO-c7,['CE05H9-4']
1321N1-SLC43A3-KO-c3,['CE057B-6']
1321N1-SLC43A3-KO-c6,['CE057E-4']
1321N1-SLC4A8-KO-c4,['CE0573-1']
1321N1-SLC4A8-KO-c6,['CE0574-W']
1321N1-SLC6A9-KO-c3,['CE057H-A']
1321N1-SLC6A9-KO-c5,['CE057M-G']
1321N1-SLC8A1-KO-c4,['CE05AV-8']
1321N1-SLC8A1-KO-c7,['CE05AW-A']
1321N1-SLC9A9-KO-c10,['CE05AX-X']
1321N1-SLC9A9-KO-c6,['CE05B0-Y']
1321N1-SV2A-KO-c14,['CE0610-N']
1321N1-SV2A-KO-c17,['CE0611-H']
1321N1-TUSC3-KO-c10,['CE05T5-Y']
1321N1-TUSC3-KO-c4,['CE05B5-S']
1321N1-UCP2-KO-c3,['CE05GA-X']
1321N1-UCP2-KO-c5,['CE05GC-Y']
1321N1-UCP3-KO-c13,['CE07H7-Z']
1321N1-UCP3-KO-c16,['CE07H9-R']
1321N1/FFAR1,"['ValiScreen human Free Fatty Acid Receptor 1 (FFA1,GPR40) cell line']"
132BR,['132 BRighton']
133,['Anti PDGF hybridoma #133']
133-10F6,['133-10F06']
1335-mel,"['1335-MEL', '1335']"
1338-mel,"['1338-MEL', '1338']"
133BR,['133 BRighton']
134BR,['134 BRighton']
1351-mel,['1351-MEL']
1352-mel,"['1352-MEL', '1352']"
1359-mel,"['1359-MEL', '1359 mel', '1359', 'Mel-1359']"
135BR,['135 BRighton']
135D5-1-12,['135D5']
135MA,['135 Manchester']
1362-mel,"['1362-MEL', '1362 mel', '1362mel', '1362']"
1363-mel,"['1363-MEL', '1363 mel', '1363']"
136MA,['136 MAnchester']
137-2-1,['#137-2-1']
137-26,['Mab 137-26']
13703390,"['39157', 'Extract 382']"
1376-mel,"['1376-MEL', '1376 mel', '1376']"
13762 MAT B III,"['13762 Mat B III', '13762-MAT-B-III', 'MAT 13762', '13762', 'MatB 13762', 'Mat B-III', 'Mat B III', 'MatB']"
137BR,['137 BRighton']
1383-mel,"['1383-MEL', '1383 mel', '1383']"
1383D2,['HPS1005']
1383D2-B2M-KO #1,['1383D2-B2M-#1']
1383D6,"['HPS1006', 'BRCi014-A']"
1388-mel,"['1388-MEL', '1388 mel', '1388']"
138BR,['138 BRighton']
138MA,['138 Manchester']
1390-mel,"['1390-MEL', '1390 mel', '1390']"
1390G3 AGVT (XX),"['1390G3 AGVT(TFAP2C-EGFP', 'DDX4/hVH-DDX4)']"
13914_1,['13914']
13976036,"['TER382', 'TER-382', 'Ter 382', 'TER469', 'TER-469', 'Ter 469']"
139BR,['139 BRighton']
13F7.B6.A7,['13F7']
14-012-8-1,['14.012.8.1']
14-1.6,['Clone 14-1.6']
14-1350-210,['HCV 14-1350-210']
14-153-234,['HCV 14-153-234']
14.1 [Mouse hybridoma against human FCAR],['14A8']
14.18,['ch 14.18']
14.G2a,['14G2a']
140BR,['140 BRighton']
1411H,['1411HP']
141BR,['141 BRighton']
141MA,['141 MAnchester']
142-24E5,"['1/24-24E05', '1/24E05', '142-24E05', 'SCRF 35.1']"
142BR,['142 BRighton']
143-2-A6-11,"['CO-431', 'CO431']"
143B,"['143b', '143 B', '143B TK-', '143B.TK-', '143BTK-', '143TK-', 'HOS-143B', 'HOS-143b', 'GM05887', 'GM05887A']"
143B pML BK TK,['143B PML BK TK']
143B.206,"['143B206', '143-B306', '143B/206', '143B.206 rho0', '143B-206rho0', '143B/206 rho0', '143B206 rho(0)', '143B206 rho-zero', '206rho0']"
143BR,['143 BRighton']
143BTK-,['143B/TK^(-)neo^(R)']
14433_1,['14433']
144BR,['144 BRighton']
145-2C11,['2C11']
14513382,"['TER523', 'TER-523', 'Ter-523', 'Ter 523', 'Extract 481']"
145BR,['145 BRighton']
146-03E04,['146-3E4']
146BR,['146 BRighton']
146MA,['146 MAnchester']
1479-mel,"['1479-MEL', '1479 mel', '1479', 'Mel-1479']"
147BR,['147 BRighton']
1488-4f1,['1488-4F1']
148BR,['148 BRighton']
1495-mel,"['1495-MEL', '1495 mel', '1495']"
149BR,['149 BRighton']
14C1,['HLCL 14C1']
14C12,['14 C12']
15-5-5S,['15.5.5S']
15.84.4,['15.84']
150057,"['150,057']"
1507.2,['S1507-2']
151-5-G2-12,"['CO-512', 'CO512']"
151-5-G3-5,"['CO-513', 'CO513']"
151-6-A7-9,"['CO-514', 'CO514']"
1510-EBV,"['1510 EBV', '1510EBV']"
151BR,['151 BRighton']
152-6D11,['152-06D11']
1520-mel,"['1520-MEL', '1520 mel', '1520']"
15233_nov,['15233']
152BR,['152 BRighton']
153.8E2.D10.D6.12.12,"['153.8E2D10D6.12.12', '12.12', 'CHIR-12.12']"
15303MN clone 2,['WT clone 2']
15303MN clone 3,['WT clone 3']
1532-CPTX-1,"['1532-CP1TX', 'CPTX-1532', '1532T']"
1532-CPTX-2,['1532-CP2TX']
1532-normal,['NPTX-1532']
1535-CPTX-1,"['1535-CP1TX', '1535T']"
1535-CPTX-2,['1535-CP2TX']
1535-normal prostate,['1535N']
153BR,['153 BRighton']
1542-CPTX-1,"['1542-CP1TX', '1542T']"
1542-CPTX-2,['1542-CP2TX']
1542-CPTX-3,['1542-CP3TX']
154BR,['154 BRighton']
154MA,['154 MAnchester']
155,['Anti PDGF hybridoma #155']
155BR,['155 BRighton']
155MA,['155 MAnchester']
1563,['CDUA']
1568,['LJAC']
156BR,['156 BRighton']
156MA,['156 MAnchester']
157MA,['157 MAnchester']
158.2,['MA158.2']
1580WU,['Wu-1580']
159BR,['159 BRighton']
159MA,['159 MAnchester']
15b,"['iPS-15b', 'hiPS-15b', 'hiPS 15b']"
15F3-1,['15F3']
15PC3,['15PC-3']
160BR,['160 BRighton']
160MA,['160 MAnchester']
1618-K,['1618K']
161BR,"['161-Br', '161 BR', '161 BRighton']"
161MA-F,['161 MAnchester-F']
161MA-M,['161 MAnchester-M']
162,['Anti PDGF hybridoma #162']
162-21.2,['Anti-Trop-1']
162-46.2,['Anti-Trop-2']
162MA,['162 MAnchester']
163-93,['mAb163-93']
163MA,['163 Manchester']
164BR,['164 BRighton']
164MA,['164 MAnchester']
165-28E7,['SCRF 354']
165BR,['165 BRighton']
1670,['#1670']
168,['Line 168']
1682A,['1682-A']
1687-4f2,['1687-4F2']
169MA,['169 MAnchester']
16HBE14o-,"['16-HBE14o', '16HBE140', '16-HBEo', '16HBEo-', '16-HBE', '16HBE']"
16Q,['LSQC-16Q']
17-71,['1771']
17-94,"['17.94', '17,94']"
17-Cl1,"['17-CL1', '17cl1', '17CL1', '17 Cl 1', '17 clone 1']"
170-MG-BA,['170MGBA']
170BR,['170 BRighton']
170MA,['170 MAnchester']
171-337-2,['171-337']
171BR,"['171-Br', '171 BRighton']"
172MA,['172 MAnchester']
173TOR,['GM21645']
174-24-11,['mAb174-24-11']
174BR,['174 BRighton']
174MA,['174 MAnchester']
175-62,['MAb 175-62']
175BR,['175 BRighton']
1765-92,"['MLS 1765-92', 'MLS-1765', 'MLS1765']"
176MA,['176 MAnchester']
1777N Pr,"['1777N-Pr', '1777N-Primary']"
1777N Rpmet,"['1777N RpMet', '1777N RPMET', '1777N-RP met', '1777N-Rp', '1777N', '1777N Retroperitoneal Metastasis']"
17933/00,['Extract 404']
1795/4A,['1795-4A']
17a,"['iPS-17a', 'hiPS-17a', 'hiPS 17a', 'iPS17a']"
17b,"['iPS-17b', 'hiPS-17b', 'hiPS 17b', 'iPS17b']"
17E4-D6,['17E4']
17F4.F4,['17F4']
18-8,['BM18-8']
180BR,"['180 BRighton', 'GM16088']"
180BRhTERT,['180BRhT']
180BRneo,"['180BR neo', 'GM16089']"
182-D1106-055,['37G11']
182-D1106-056,['37H8']
182-D1106-057,['38G5']
182-D1106-058,['38H3']
182-D1106-059,['39F11']
182-D1106-061,['42E12']
182-D1106-062,['43A11']
182-D1106-067,['61C2']
182-D1106-279,['125E1']
182-D1106-294,['163E12']
182-D1106-362,['175D10']
182-D758-035,['26B5']
182-D758-036,['26D12']
182-D758-040,['28D10']
184,"['HMEC-184', 'HMEC 184', 'HMEC184']"
184-hTERT,"['184-hTert', '184hTERT']"
184A1,"['184 A1', 'H184A1']"
184A1N4,['A1N4']
184A1N4-H,"['A1N4-H', '184A1N4-ras']"
184A1N4-T,['A1N4-T']
184A1N4-TH,"['A1N4-TH', '184A1N4-T-ras']"
184B5,"['184-B5', 'B5/589', 'H184B5']"
1858-mel a,"['1858-MEL a', '1858-MEL a (Fragment)']"
1858-mel b,"['1858-MEL b', '1858-MEL b (Medimachine)']"
1858-mel c,"['1858-MEL c', '1858-MEL c (Wash)']"
1872T,['1872']
18a,"['iPS-18a', 'hiPS-18a', 'hiPS 18a']"
18b,"['iPS-18b', 'IPS cell line 18b', 'hiPS 18b', 'HVRDi006-A']"
18B10.C7,['18B10.C7(3)']
18c,"['iPS-18c', 'hiPS 18c']"
18E9.G3.D7,['18E9']
18FR22,['18 days Foie de Rat at 22th passage']
18Nco,"['HFK-18Nco', 'HF-18Nco', 'HF-18NcoI']"
191,['Anti PDGF hybridoma #191']
192B,['192 B']
1936-mel,"['1936-MEL', '1936-MEL (Medimachine)', 'MG-1936']"
1939-3G5,['3G5']
1939-8G2,['8G2']
193E11E5B11,['193E11E5']
193F10C8C11,['193F10C8']
19418,"['Extract 348', 'Extract 459']"
1955-91,"['1955/91', 'MLS 1955-91']"
1962-mel,"['1962-MEL', 'MG-1962']"
196hT,['hTERT-hMSCs']
198,['Anti PDGF hybridoma #198']
198VI,['198 VIllejuif']
19BR,['19 BRighton']
19G7-C10,['19G7']
19X14,['19 X 14']
1A1-1D7,['1A1 1D7']
1A1/B2,"['1A1 / B2', 'IMB-649']"
1A12-2A4,['1A12 2A4']
1A2 [Rat glioma],['1A2(R)']
1A3.1.1,['anti-FcRH4-1A3']
1A8,['LBRM-33-1A8']
1A8C3C10,"['LBRM-33-1A8C3C10', 'IA8C3C10']"
1A9 [Mouse hybridoma against rat Hmgb1],['1A9-1-2-1-4']
1A9/T80,"['1A9 T80', '1A9T80']"
1A9PTX10,"['1A9/PTX10', '1A9/ptx-10', '1A9/Ptx-10', 'PTX10']"
1A9PTX15,['PTX15']
1A9PTX22,"['1A9/PTX22', '1A9/ptx-22', '1A9/Ptx-22', 'PTX22']"
1B10-1D1,['1B10 1D1']
1B11-2E3,['1B11 2E3']
1B2-1B7,['1B2']
1B2E12,['1B2-E12']
1B71B4,"['IB7IB4', 'D-IB7IB4']"
1BR.3.G,"['1BR.3-G', '1BR3.G', '1BR.3GPT', '1BR.3gpt']"
1BR.3.GN,['1BR3.GN']
1BR.3.N,"['1BR3.N', '1BR.3N', '1BR.3NEO', '1BR.3neo', '1BR3neo', '1BRneo']"
1BR3,"['1BR.3', '1.BR3', '1BR', '1Br', '1 BRighton']"
1C3 [Mouse hybridoma against human HMGB1],['1C3-1-1-1-1']
1C3IKEI,['1C3 IKEI']
1C6 [Mouse hybridoma against Ebola virus VP35],['IC6']
1C8 [Mouse hybridoma against aflatoxin G1],['AFG20081C8']
1C9,['Lexicon ES cell line 1C9']
1Cc8,"['1CC8', 'SCC-1CC8', 'SC8']"
1D10(AAT) Clone 8D10,['1D10(ATT) Clone A6']
1D11.16.8,"['1D11.16', '1D11']"
1D12-1D5,['1D12 1D5']
1D6.3.8,"['anti-FcRH1,2-1D6']"
1D9 [Mouse hybridoma against HIV-1 isolate HXB2 tat],['1D9D5']
1E10.16.4,['1E10']
1E8 [Mouse hybridoma against human DSCs],['IE8']
1F10,['1F10/B11']
1F5.D6,['1F5.D6(14)']
1F9.1.1,['anti-FcRH1-1F9']
1G11.14.7,['1G11']
1G2,"['HKB11 clone 1G2', 'MSB7241']"
1G7 [Mouse hybridoma against I.punctatus Ig light chains],['1G7-3']
1G8 [Ictalurus],['IG8']
1G9,['1G93C4']
1H10-6,['1H10']
1H5.25.9,['1H5']
1HAEo-,"['1HAEo', '1HAEo(-)']"
1hFT.1.6D4.1C8,['PIP']
1L12,['Sporadic FTD iPSC #12']
1L23,['Sporadic FTD iPSC #23']
1L9,['Sporadic FTD iPSC #9']
1LN-8,['1LN8']
1R10F11.34.16,"['HB 1R10F11', 'OM1']"
2-179-E11,['2.179.E11']
2-27-Ad,['2-27 Ad']
2.03.7,['2.03']
2.040 pRSV-T,['2.040']
2.12.1,['LN 15846']
2.13.2,['LN 15842']
2.14.3,['LN 15844']
2.28 M1,"['A2,28M1']"
2/11,['2.11']
20,['Anti PDGF hybridoma #20']
20.3,"['TAb 250', 'Tab 250']"
20/05-3A4-26-16,"['20/05-3A4', '3A4']"
200-3-G6-4,"['20.4', 'ME20.4']"
2008/C13*5.25,"['2008/C13_5_25', '2008/c13*5.25', 'OV 2008/C13*5.25', 'OV2008/C13', '2008C13', '2008 C-13', 'C13', '2008/C13.R', 'ME180C13']"
2012 [Human B-cell IHW],['WELA']
2013,['WEWI']
201B1,"['201-B1', 'KUIFMSi004-A']"
201B2,"['201-B2', 'KUIFMSi004-D', 'vWT-201B2']"
201B3,"['201-B3', 'KUIFMSi004-E']"
201B6,"['201-B6', 'KUIFMSi004-B']"
201B7,"['201-B7', '201B7-WT', '201B-7', 'KYOU-DXR0109B', 'KUIFMSi004-C', 'vWT-201B7', 'HiPS201B7', 'HPS0063', 'B7']"
202-11A8,['202-11AB']
203-7D10,['203-07D10']
203-glioma,"['203 glioma', '203G']"
203E1H5,"['203 E1H5', '203E1']"
2041,['BLJU']
205BR,['205 BRighton']
2061H,['HT-H']
209/MDCT,['209/Mouse Distal Convoluted Tubule']
2094,['CRJC']
2097.2,['2097']
20b,"['iPS-20b', 'hiPS-20b', 'hiPS 20b']"
20C2,['4H12:20C2.G6.C9']
2102EP,"['2102Ep', '2102 Ep', '2,102 Ep']"
211A,['Line 211A']
211B,['Line 211B']
211R,['Line 211R']
212BR,['212 BRighton']
214BR,['214 BRighton']
215BR,['215 BRighton']
21690,"['TER290', 'TER-290', 'Ter 290', 'TER310', 'TER-310', 'Ter 310', 'TER428', 'TER-428', 'Ter 428']"
219,['Anti PDGF hybridoma #219']
21A7.B12.F8,['21A7']
21B8,['HLCL 21B8']
21MA,['21 Manchester']
21MT-1,"['21-MT-1', '21MT1']"
21MT-2,"['21-MT-2', '21MT2']"
21NT,['21 NT']
21PT,['21 PT']
22,"['M22', 'Hybridoma for mAB 22']"
228BR,['228 BRighton']
22B,"['22-B', 'ESC22B']"
22D6,['22-D6']
22MA,['22 MAnchester']
22Rv1,"['22RV1', '22Rv-1', '22rV1', 'CWR-22rv1', 'CWR22-Rv1', 'CWR22R-V1', 'CWR22-R1', 'CWR22Rv1', 'CWR22R']"
22Rv1-SL,"['Stem-Like 22Rv1', '22Rv1-Stem Like']"
22RV1rYM155_300nM,['22RV1rYM155(300nM)']
23 ScCr,['10ScNCr/23']
23/05-4C6-29-3,"['23/05-4C6', '4C6']"
23.28.57.108,['23.28.57']
23.38.120.8,['23.38.120']
23.70.174.83,['23.70.174']
23.8.34.24,['23.8.34']
230699,"['Extract 149', 'Extract 198', 'Extract 478']"
23132/87,"['23132-87', '2313287', 'St 23132', 'St23132', '23132']"
232,['Anti PDGF hybridoma #232']
232-A4,"['232 A4-LCL', '232A4']"
232-B4,"['232 B4-CLL', '232B4']"
234H11E8,['234 H11E8']
23M-D9,['HB 23M-D9']
24/04-10B4-24-8,"['24/04-10B4', '10B4']"
240E1-1,"['240E1', '240E-1']"
240E1-1-2,"['240E 1-1-2', '240E-1-1-2']"
24131,"['30063', 'TER369', 'TER-369', 'Ter 369', 'TER443', 'TER-443', 'Ter 443', 'TER474', 'TER-474', 'Ter 474']"
2429 SIX2:EGFP,['2429iPS SIX2:EGFP']
243H1,['KUIFMSi009-A']
243H7,['KUIFMSi009-B']
246G1,['KUIFMSi011-A']
246G3,['KUIFMSi011-B']
246G4,['KUIFMSi011-C']
246G5,['KUIFMSi011-D']
246G6,['KUIFMSi011-E']
2474/90,"['St 2474', 'St2474']"
24B>Ras attP-G1-CloneF3,['24BG1-F3']
24B>Ras attP-G1-CloneG1,['24BG1-G1']
24B>Ras attP GFP-L1,"['24B-G1', '24B-G1 attP', '24BG1']"
24B>Ras attP-L5,"['24B-5', '24B-5 attP', '24B5']"
24B>Ras attP-L5-CloneB8,['24B5-B8']
24IA2E2E10D5,['24IA2']
25-9-17S,['25.9.17S']
250 MK,['250MK']
250BR,['250 BRighton']
251BR,['251 BRighton']
2525T,['2525']
253G1,"['253-G1', 'HiPS253G1', 'HPS0002']"
253G4,"['253-G4', '253G-4', 'HPS4291']"
253J,"['253j', '253-J', '253 J', '253J-P', '253J-Parental', '253J P', '253JP']"
253J laval,"['253J-Laval', '253JLAVAL']"
253J-BV,"['253JB-V', '253J B-V', '253JBV', '253J-Bladder-V']"
