"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL4409430";"B";"Inhibition of IDH1 R132C mutant in human HT1080 cells assessed as reduction in 2-HG production incubated with compound for 48 hrs by D2HG assay kit based fluorescence assay";"Homo sapiens";"7";"7";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"O75874";"R132C"
"CHEMBL4495582";"F";"SARS-CoV-2 3CL-Pro protease inhibition percentage at 20µM  by FRET kind of response from peptide substrate";"Severe acute respiratory syndrome coronavirus 2";"7218";"8702";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"SARS-CoV-2 Screening Data 2020-21";"2697049";"";"";"";"";"CHEMBL4495564";"None";"10.6019/CHEMBL4495564";"2020";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL4409433";"A";"Volume of distribution at steady state in ICR mouse at 1 mg/kg, iv measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409427";"B";"Inhibition of wild type recombinant human C-terminal His8-tagged IDH1 expressed in Escherichia coli BL21 assessed as reduction in NADP consumption using DL-isocitrate as substrate preincubated for 60 mins followed by substrate addition and measured for 60 mins in presence of NADP by diaphorase/resazurin-based fluorescence assay";"Homo sapiens";"7";"7";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409429";"B";"Inhibition of recombinant human C-terminal His8-tagged IDH1 R132H mutant expressed in Escherichia coli BL21 assessed as reduction in NADPH consumption using alpha-ketoglutarate as substrate preincubated for 60 mins followed by substrate addition measured for 60 mins in presence of NADPH by diaphorase/resazurin-based assay";"Homo sapiens";"26";"26";"BAO_0000019";"assay format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"O75874";"R132H"
"CHEMBL4180690";"B";"Inhibition of IDH1 R132H mutant (unknown origin)";"Homo sapiens";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4177635";"29079473";"10.1016/j.bmcl.2017.10.029";"2017";"Bioorg Med Chem Lett";"27";"5262";"5266";"";"";"";"";"O75874";"R132H"
"CHEMBL4303805";"F";"Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of Caco-2 cells at 10 uM after 48 hours by high content imaging";"Homo sapiens";"5616";"5632";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"SARS-CoV-2 Screening Data 2020-21";"9606";"";"";"Caco-2";"";"CHEMBL4303101";"None";"10.21203/rs.3.rs-23951/v1";"2020";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL4409438";"A";"AUC in ICR mouse at 5 mg/kg, po measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4309334";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as pneumonia at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4409432";"A";"Clearance in ICR mouse at 1 mg/kg, iv measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4360241";"A";"Efflux ratio of apparent permeability from basolateral side to apical side over apical side to basolateral side in MDCK cells harboring MDR1 (unknown origin) at 10 uM incubated for 2 hrs by LC-MS/MS analysis";"Canis lupus familiaris";"1";"1";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9615";"";"";"MDCK";"";"CHEMBL4359816";"31199148";"10.1021/acs.jmedchem.9b00362";"2019";"J Med Chem";"62";"6575";"6596";"";"";"";"";"";""
"CHEMBL4409441";"A";"Drug uptake in brain of athymic BALB/c nude mouse xenografted with human HT1080 cells at 50 mg/kg, po administered as a single dose via gavage measured upto 24 hrs post dosing by LC-MS/MS analysis";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"BALB/c";"Scientific Literature";"10090";"CHEMBL3638188";"Brain";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409437";"A";"Half life in ICR mouse at 5 mg/kg, po measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4303810";"F";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"Homo sapiens";"1629";"1637";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"SARS-CoV-2 Screening Data 2020-21";"9606";"";"";"HRCE";"";"CHEMBL4303122";"None";"10.1101/2020.04.21.054387";"2020";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL4513082";"F";"Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging";"Chlorocebus sabaeus";"7218";"17404";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"SARS-CoV-2 Screening Data 2020-21";"60711";"";"";"Vero C1008";"";"CHEMBL4495565";"None";"10.6019/CHEMBL4495565";"2020";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL4409439";"A";"Oral bioavailability in ICR mouse at 5 mg/kg measured upto 24 hrs by LCMS analysis";"Mus musculus";"7";"7";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"ICR";"Scientific Literature";"10090";"";"";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4409446";"A";"Drug uptake in tumor of athymic BALB/c nude mouse xenografted with human HT1080 cells at 50 mg/kg, po administered as a single dose via gavage measured upto 24 hrs post dosing by LC-MS/MS analysis";"Mus musculus";"1";"1";"BAO_0000218";"organism-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"BALB/c";"Scientific Literature";"10090";"CHEMBL3833801";"Neoplasm";"";"";"CHEMBL4406857";"31561044";"10.1016/j.ejmech.2019.111694";"2019";"Eur J Med Chem";"183";"111694";"111694";"";"";"";"";"";""
"CHEMBL4309331";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as nausea at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4812398";"B";"Inhibition of IDH1 R132H mutant (unknown origin) expressed in human U87 cells assessed as R-2-hydroxyglutarate production after 48 hrs by LC-MS analysis";"Homo sapiens";"2";"3";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"U87";"";"CHEMBL4811250";"33822623";"10.1021/acs.jmedchem.1c00019";"2021";"J Med Chem";"64";"4913";"4946";"";"";"";"";"O75874";"R132H"
"CHEMBL4180691";"B";"Inhibition of IDH1 R132C mutant in human HT1080 cells assessed as reduction in 2-hydroxyglutarate production";"Homo sapiens";"1";"1";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4177635";"29079473";"10.1016/j.bmcl.2017.10.029";"2017";"Bioorg Med Chem Lett";"27";"5262";"5266";"";"";"";"";"O75874";"R132C"
"CHEMBL4309330";"T";"Toxicity in patient with IDH1 mutated cholangio carcinoma assessed as diarrhea at 100 to 1200 mg administered once daily for 28 days relative to control";"Homo sapiens";"1";"1";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9606";"";"";"";"";"CHEMBL4308836";"29847930";"10.1021/acs.jmedchem.8b00159";"2018";"J Med Chem";"61";"8981";"9003";"";"";"";"";"";""
"CHEMBL4812397";"B";"Inhibition of C-terminal NanoLuc 86b-tagged IDH1 R132H (unknown origin) expressed in HEK293T cells assessed as increase in thermal stability by measuring Nano-luciferase activity at 56 degC for 3.5 min by CETSA";"Homo sapiens";"2";"3";"BAO_0000219";"cell-based format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9606";"";"";"HEK293T";"";"CHEMBL4811250";"33822623";"10.1021/acs.jmedchem.1c00019";"2021";"J Med Chem";"64";"4913";"4946";"";"";"";"";"O75874";"R132H"
